language,regime,upos_raw,deprel_raw,upos,deprel_base,n,status
grc,HEX,NOUN,nmod,NOUN,nmod,3054,PROVISIONAL
grc,HEX,NOUN,nsubj,NOUN,nsubj,4153,PROVISIONAL
grc,HEX,NOUN,obj,NOUN,obj,5966,PROVISIONAL
grc,HEX,NOUN,obl,NOUN,obl,4432,PROVISIONAL
grc,HEX,NOUN,root,NOUN,root,60,PROVISIONAL
grc,HEX,NOUN,vocative,NOUN,vocative,385,PROVISIONAL
grc,HEX,NOUN,xcomp,NOUN,xcomp,137,PROVISIONAL
grc,HEX,NUM,advcl,NUM,advcl,1,PROVISIONAL
grc,HEX,NUM,conj,NUM,conj,3,PROVISIONAL
grc,HEX,NUM,nsubj,NUM,nsubj,2,PROVISIONAL
grc,HEX,NUM,nummod,NUM,nummod,116,PROVISIONAL
grc,HEX,NUM,obj,NUM,obj,2,PROVISIONAL
grc,HEX,NUM,obl,NUM,obl,1,PROVISIONAL
grc,HEX,NUM,root,NUM,root,1,PROVISIONAL
grc,HEX,NUM,xcomp,NUM,xcomp,1,PROVISIONAL
grc,HEX,PART,advmod,PART,advmod,6827,PROVISIONAL
grc,HEX,PART,case,PART,case,1,PROVISIONAL
grc,HEX,PART,cc,PART,cc,4432,PROVISIONAL
grc,HEX,PART,mark,PART,mark,9,PROVISIONAL
grc,HEX,PART,obj,PART,obj,1,PROVISIONAL
grc,HEX,PRON,acl,PRON,acl,2,PROVISIONAL
grc,HEX,PRON,advcl,PRON,advcl,1,PROVISIONAL
grc,HEX,PRON,appos,PRON,appos,7,PROVISIONAL
grc,HEX,PRON,conj,PRON,conj,25,PROVISIONAL
grc,HEX,PRON,iobj,PRON,iobj,331,PROVISIONAL
grc,HEX,PRON,nmod,PRON,nmod,544,PROVISIONAL
grc,HEX,PRON,nsubj,PRON,nsubj,2075,PROVISIONAL
grc,HEX,PRON,obj,PRON,obj,1952,PROVISIONAL
grc,HEX,PRON,obl,PRON,obl,803,PROVISIONAL
grc,HEX,PRON,root,PRON,root,8,PROVISIONAL
grc,HEX,PRON,vocative,PRON,vocative,4,PROVISIONAL
grc,HEX,PRON,xcomp,PRON,xcomp,3,PROVISIONAL
grc,HEX,PUNCT,punct,PUNCT,punct,11699,PROVISIONAL
grc,HEX,SCONJ,cc,SCONJ,cc,16,PROVISIONAL
grc,HEX,SCONJ,mark,SCONJ,mark,793,PROVISIONAL
grc,HEX,VERB,acl,VERB,acl,716,PROVISIONAL
grc,HEX,VERB,advcl,VERB,advcl,4140,PROVISIONAL
grc,HEX,VERB,appos,VERB,appos,22,PROVISIONAL
grc,HEX,VERB,ccomp,VERB,ccomp,322,PROVISIONAL
grc,HEX,VERB,conj,VERB,conj,3025,PROVISIONAL
grc,HEX,VERB,csubj,VERB,csubj,69,PROVISIONAL
grc,HEX,VERB,nmod,VERB,nmod,385,PROVISIONAL
grc,HEX,VERB,nsubj,VERB,nsubj,7,PROVISIONAL
grc,HEX,VERB,obl,VERB,obl,4,PROVISIONAL
grc,HEX,VERB,parataxis,VERB,parataxis,22,PROVISIONAL
grc,HEX,VERB,root,VERB,root,6697,PROVISIONAL
grc,HEX,VERB,vocative,VERB,vocative,8,PROVISIONAL
grc,HEX,VERB,xcomp,VERB,xcomp,1102,PROVISIONAL
grc,HEX,X,nmod,X,nmod,6,PROVISIONAL
grc,HEX,X,nsubj,X,nsubj,3,PROVISIONAL
grc,HEX,X,obj,X,obj,3,PROVISIONAL
grc,HEX,X,root,X,root,3,PROVISIONAL
grc,HEX,X,vocative,X,vocative,1,PROVISIONAL
grc,OTHER_VERSE,ADJ,advcl,ADJ,advcl,19,PROVISIONAL
grc,OTHER_VERSE,ADJ,advmod,ADJ,advmod,225,PROVISIONAL
grc,OTHER_VERSE,ADJ,amod,ADJ,amod,174,PROVISIONAL
grc,OTHER_VERSE,ADJ,appos,ADJ,appos,8,PROVISIONAL
grc,OTHER_VERSE,ADJ,conj,ADJ,conj,90,PROVISIONAL
grc,OTHER_VERSE,ADJ,iobj,ADJ,iobj,17,PROVISIONAL
grc,OTHER_VERSE,ADJ,nmod,ADJ,nmod,1435,PROVISIONAL
grc,OTHER_VERSE,ADJ,nsubj,ADJ,nsubj,209,PROVISIONAL
grc,OTHER_VERSE,ADJ,obj,ADJ,obj,511,PROVISIONAL
grc,OTHER_VERSE,ADJ,obl,ADJ,obl,115,PROVISIONAL
grc,OTHER_VERSE,ADJ,parataxis,ADJ,parataxis,1,PROVISIONAL
grc,OTHER_VERSE,ADJ,root,ADJ,root,69,PROVISIONAL
grc,OTHER_VERSE,ADJ,vocative,ADJ,vocative,72,PROVISIONAL
grc,OTHER_VERSE,ADJ,xcomp,ADJ,xcomp,410,PROVISIONAL
grc,OTHER_VERSE,ADP,advcl,ADP,advcl,1,PROVISIONAL
grc,OTHER_VERSE,ADP,case,ADP,case,827,PROVISIONAL
grc,OTHER_VERSE,ADP,cc,ADP,cc,4,PROVISIONAL
grc,OTHER_VERSE,ADP,conj,ADP,conj,1,PROVISIONAL
grc,OTHER_VERSE,ADP,mark,ADP,mark,4,PROVISIONAL
grc,OTHER_VERSE,ADP,nmod,ADP,nmod,3,PROVISIONAL
grc,OTHER_VERSE,ADP,nsubj,ADP,nsubj,1,PROVISIONAL
grc,OTHER_VERSE,ADP,obj,ADP,obj,3,PROVISIONAL
grc,OTHER_VERSE,ADP,root,ADP,root,10,PROVISIONAL
grc,OTHER_VERSE,ADV,advmod,ADV,advmod,1688,PROVISIONAL
grc,OTHER_VERSE,ADV,case,ADV,case,23,PROVISIONAL
grc,OTHER_VERSE,ADV,cc,ADV,cc,23,PROVISIONAL
grc,OTHER_VERSE,ADV,conj,ADV,conj,7,PROVISIONAL
grc,OTHER_VERSE,ADV,mark,ADV,mark,49,PROVISIONAL
grc,OTHER_VERSE,ADV,nmod,ADV,nmod,48,PROVISIONAL
grc,OTHER_VERSE,ADV,nsubj,ADV,nsubj,3,PROVISIONAL
grc,OTHER_VERSE,ADV,obj,ADV,obj,102,PROVISIONAL
grc,OTHER_VERSE,ADV,root,ADV,root,2,PROVISIONAL
grc,OTHER_VERSE,ADV,vocative,ADV,vocative,4,PROVISIONAL
grc,OTHER_VERSE,ADV,xcomp,ADV,xcomp,2,PROVISIONAL
grc,OTHER_VERSE,AUX,aux,AUX,aux,11,PROVISIONAL
grc,OTHER_VERSE,AUX,cop,AUX,cop,229,PROVISIONAL
grc,OTHER_VERSE,CCONJ,advmod,CCONJ,advmod,472,PROVISIONAL
grc,OTHER_VERSE,CCONJ,cc,CCONJ,cc,338,PROVISIONAL
grc,OTHER_VERSE,CCONJ,mark,CCONJ,mark,35,PROVISIONAL
grc,OTHER_VERSE,DET,advmod,DET,advmod,4,PROVISIONAL
grc,OTHER_VERSE,DET,det,DET,det,886,PROVISIONAL
grc,OTHER_VERSE,INTJ,discourse,INTJ,discourse,176,PROVISIONAL
grc,OTHER_VERSE,INTJ,vocative,INTJ,vocative,37,PROVISIONAL
grc,OTHER_VERSE,NOUN,acl,NOUN,acl,2,PROVISIONAL
grc,OTHER_VERSE,NOUN,advcl,NOUN,advcl,16,PROVISIONAL
grc,OTHER_VERSE,NOUN,appos,NOUN,appos,37,PROVISIONAL
grc,OTHER_VERSE,NOUN,case,NOUN,case,7,PROVISIONAL
grc,OTHER_VERSE,NOUN,conj,NOUN,conj,177,PROVISIONAL
grc,OTHER_VERSE,NOUN,iobj,NOUN,iobj,65,PROVISIONAL
grc,OTHER_VERSE,NOUN,nmod,NOUN,nmod,700,PROVISIONAL
grc,OTHER_VERSE,NOUN,nsubj,NOUN,nsubj,613,PROVISIONAL
grc,OTHER_VERSE,NOUN,obj,NOUN,obj,1256,PROVISIONAL
grc,OTHER_VERSE,NOUN,obl,NOUN,obl,824,PROVISIONAL
grc,OTHER_VERSE,NOUN,root,NOUN,root,29,PROVISIONAL
grc,OTHER_VERSE,NOUN,vocative,NOUN,vocative,249,PROVISIONAL
grc,OTHER_VERSE,NOUN,xcomp,NOUN,xcomp,120,PROVISIONAL
grc,OTHER_VERSE,NUM,advcl,NUM,advcl,1,PROVISIONAL
grc,OTHER_VERSE,NUM,nsubj,NUM,nsubj,1,PROVISIONAL
grc,OTHER_VERSE,NUM,nummod,NUM,nummod,15,PROVISIONAL
grc,OTHER_VERSE,NUM,obj,NUM,obj,1,PROVISIONAL
grc,OTHER_VERSE,NUM,obl,NUM,obl,1,PROVISIONAL
grc,OTHER_VERSE,NUM,root,NUM,root,1,PROVISIONAL
grc,OTHER_VERSE,NUM,xcomp,NUM,xcomp,1,PROVISIONAL
grc,OTHER_VERSE,PART,advmod,PART,advmod,1934,PROVISIONAL
grc,OTHER_VERSE,PART,cc,PART,cc,419,PROVISIONAL
grc,OTHER_VERSE,PART,mark,PART,mark,1,PROVISIONAL
grc,OTHER_VERSE,PART,nmod,PART,nmod,1,PROVISIONAL
grc,OTHER_VERSE,PART,obj,PART,obj,1,PROVISIONAL
grc,OTHER_VERSE,PART,vocative,PART,vocative,1,PROVISIONAL
grc,OTHER_VERSE,PRON,acl,PRON,acl,2,PROVISIONAL
grc,OTHER_VERSE,PRON,appos,PRON,appos,1,PROVISIONAL
grc,OTHER_VERSE,PRON,conj,PRON,conj,27,PROVISIONAL
grc,OTHER_VERSE,PRON,iobj,PRON,iobj,111,PROVISIONAL
grc,OTHER_VERSE,PRON,nmod,PRON,nmod,469,PROVISIONAL
grc,OTHER_VERSE,PRON,nsubj,PRON,nsubj,562,PROVISIONAL
grc,OTHER_VERSE,PRON,obj,PRON,obj,757,PROVISIONAL
grc,OTHER_VERSE,PRON,obl,PRON,obl,365,PROVISIONAL
grc,OTHER_VERSE,PRON,parataxis,PRON,parataxis,2,PROVISIONAL
grc,OTHER_VERSE,PRON,root,PRON,root,17,PROVISIONAL
grc,OTHER_VERSE,PRON,vocative,PRON,vocative,18,PROVISIONAL
grc,OTHER_VERSE,PRON,xcomp,PRON,xcomp,9,PROVISIONAL
grc,OTHER_VERSE,PUNCT,punct,PUNCT,punct,4373,PROVISIONAL
grc,OTHER_VERSE,SCONJ,case,SCONJ,case,6,PROVISIONAL
grc,OTHER_VERSE,SCONJ,mark,SCONJ,mark,412,PROVISIONAL
grc,OTHER_VERSE,SCONJ,nmod,SCONJ,nmod,1,PROVISIONAL
grc,OTHER_VERSE,VERB,acl,VERB,acl,204,PROVISIONAL
grc,OTHER_VERSE,VERB,advcl,VERB,advcl,1141,PROVISIONAL
grc,OTHER_VERSE,VERB,appos,VERB,appos,37,PROVISIONAL
grc,OTHER_VERSE,VERB,case,VERB,case,1,PROVISIONAL
grc,OTHER_VERSE,VERB,ccomp,VERB,ccomp,216,PROVISIONAL
grc,OTHER_VERSE,VERB,conj,VERB,conj,386,PROVISIONAL
grc,OTHER_VERSE,VERB,csubj,VERB,csubj,137,PROVISIONAL
grc,OTHER_VERSE,VERB,nmod,VERB,nmod,140,PROVISIONAL
grc,OTHER_VERSE,VERB,nsubj,VERB,nsubj,24,PROVISIONAL
grc,OTHER_VERSE,VERB,obl,VERB,obl,5,PROVISIONAL
grc,OTHER_VERSE,VERB,parataxis,VERB,parataxis,62,PROVISIONAL
grc,OTHER_VERSE,VERB,root,VERB,root,2396,PROVISIONAL
grc,OTHER_VERSE,VERB,vocative,VERB,vocative,4,PROVISIONAL
grc,OTHER_VERSE,VERB,xcomp,VERB,xcomp,503,PROVISIONAL
grc,OTHER_VERSE,X,conj,X,conj,1,PROVISIONAL
grc,OTHER_VERSE,X,nmod,X,nmod,1,PROVISIONAL
grc,OTHER_VERSE,X,obj,X,obj,1,PROVISIONAL
grc,OTHER_VERSE,X,root,X,root,2,PROVISIONAL
grc,OTHER_VERSE,X,vocative,X,vocative,1,PROVISIONAL
grc,PROSE_CLASS,ADJ,advcl,ADJ,advcl,49,PROVISIONAL
grc,PROSE_CLASS,ADJ,advmod,ADJ,advmod,274,PROVISIONAL
grc,PROSE_CLASS,ADJ,amod,ADJ,amod,183,PROVISIONAL
grc,PROSE_CLASS,ADJ,appos,ADJ,appos,8,PROVISIONAL
grc,PROSE_CLASS,ADJ,conj,ADJ,conj,151,PROVISIONAL
grc,PROSE_CLASS,ADJ,iobj,ADJ,iobj,8,PROVISIONAL
grc,PROSE_CLASS,ADJ,nmod,ADJ,nmod,1150,PROVISIONAL
grc,PROSE_CLASS,ADJ,nsubj,ADJ,nsubj,161,PROVISIONAL
grc,PROSE_CLASS,ADJ,obj,ADJ,obj,241,PROVISIONAL
grc,PROSE_CLASS,ADJ,obl,ADJ,obl,121,PROVISIONAL
grc,PROSE_CLASS,ADJ,root,ADJ,root,70,PROVISIONAL
grc,PROSE_CLASS,ADJ,vocative,ADJ,vocative,1,PROVISIONAL
grc,PROSE_CLASS,ADJ,xcomp,ADJ,xcomp,199,PROVISIONAL
grc,PROSE_CLASS,ADP,case,ADP,case,1688,PROVISIONAL
grc,PROSE_CLASS,ADP,nmod,ADP,nmod,3,PROVISIONAL
grc,PROSE_CLASS,ADP,obj,ADP,obj,1,PROVISIONAL
grc,PROSE_CLASS,ADV,advcl,ADV,advcl,1,PROVISIONAL
grc,PROSE_CLASS,ADV,advmod,ADV,advmod,3894,PROVISIONAL
grc,PROSE_CLASS,ADV,cc,ADV,cc,3,PROVISIONAL
grc,PROSE_CLASS,ADV,conj,ADV,conj,7,PROVISIONAL
grc,PROSE_CLASS,ADV,nmod,ADV,nmod,34,PROVISIONAL
grc,PROSE_CLASS,ADV,nsubj,ADV,nsubj,3,PROVISIONAL
grc,PROSE_CLASS,ADV,obj,ADV,obj,5,PROVISIONAL
grc,PROSE_CLASS,ADV,obl,ADV,obl,1,PROVISIONAL
grc,PROSE_CLASS,ADV,root,ADV,root,8,PROVISIONAL
grc,PROSE_CLASS,ADV,xcomp,ADV,xcomp,9,PROVISIONAL
grc,PROSE_CLASS,AUX,cop,AUX,cop,503,PROVISIONAL
grc,PROSE_CLASS,CCONJ,advmod,CCONJ,advmod,3,PROVISIONAL
grc,PROSE_CLASS,CCONJ,cc,CCONJ,cc,1182,PROVISIONAL
grc,PROSE_CLASS,CCONJ,mark,CCONJ,mark,94,PROVISIONAL
grc,PROSE_CLASS,DET,advmod,DET,advmod,7,PROVISIONAL
grc,PROSE_CLASS,DET,det,DET,det,3359,PROVISIONAL
grc,PROSE_CLASS,INTJ,discourse,INTJ,discourse,39,PROVISIONAL
grc,PROSE_CLASS,NOUN,acl,NOUN,acl,34,PROVISIONAL
grc,PROSE_CLASS,NOUN,advcl,NOUN,advcl,16,PROVISIONAL
grc,PROSE_CLASS,NOUN,appos,NOUN,appos,18,PROVISIONAL
grc,PROSE_CLASS,NOUN,conj,NOUN,conj,363,PROVISIONAL
grc,PROSE_CLASS,NOUN,iobj,NOUN,iobj,73,PROVISIONAL
grc,PROSE_CLASS,NOUN,nmod,NOUN,nmod,952,PROVISIONAL
grc,PROSE_CLASS,NOUN,nsubj,NOUN,nsubj,1203,PROVISIONAL
grc,PROSE_CLASS,NOUN,obj,NOUN,obj,1277,PROVISIONAL
grc,PROSE_CLASS,NOUN,obl,NOUN,obl,1342,PROVISIONAL
grc,PROSE_CLASS,NOUN,root,NOUN,root,52,PROVISIONAL
grc,PROSE_CLASS,NOUN,vocative,NOUN,vocative,53,PROVISIONAL
grc,PROSE_CLASS,NOUN,xcomp,NOUN,xcomp,135,PROVISIONAL
grc,PROSE_CLASS,NUM,conj,NUM,conj,5,PROVISIONAL
grc,PROSE_CLASS,NUM,nummod,NUM,nummod,40,PROVISIONAL
grc,PROSE_CLASS,PRON,acl,PRON,acl,8,PROVISIONAL
grc,PROSE_CLASS,PRON,advcl,PRON,advcl,5,PROVISIONAL
grc,PROSE_CLASS,PRON,appos,PRON,appos,3,PROVISIONAL
grc,PROSE_CLASS,PRON,conj,PRON,conj,30,PROVISIONAL
grc,PROSE_CLASS,PRON,iobj,PRON,iobj,123,PROVISIONAL
grc,PROSE_CLASS,PRON,nmod,PRON,nmod,252,PROVISIONAL
grc,PROSE_CLASS,PRON,nsubj,PRON,nsubj,481,PROVISIONAL
grc,PROSE_CLASS,PRON,obj,PRON,obj,732,PROVISIONAL
grc,PROSE_CLASS,PRON,obl,PRON,obl,438,PROVISIONAL
grc,PROSE_CLASS,PRON,root,PRON,root,12,PROVISIONAL
grc,PROSE_CLASS,PRON,xcomp,PRON,xcomp,34,PROVISIONAL
grc,PROSE_CLASS,PUNCT,punct,PUNCT,punct,3225,PROVISIONAL
grc,PROSE_CLASS,SCONJ,case,SCONJ,case,4,PROVISIONAL
grc,PROSE_CLASS,SCONJ,mark,SCONJ,mark,427,PROVISIONAL
grc,PROSE_CLASS,VERB,acl,VERB,acl,225,PROVISIONAL
grc,PROSE_CLASS,VERB,advcl,VERB,advcl,1568,PROVISIONAL
grc,PROSE_CLASS,VERB,appos,VERB,appos,24,PROVISIONAL
grc,PROSE_CLASS,VERB,ccomp,VERB,ccomp,307,PROVISIONAL
grc,PROSE_CLASS,VERB,conj,VERB,conj,719,PROVISIONAL
grc,PROSE_CLASS,VERB,csubj,VERB,csubj,102,PROVISIONAL
grc,PROSE_CLASS,VERB,nmod,VERB,nmod,249,PROVISIONAL
grc,PROSE_CLASS,VERB,nsubj,VERB,nsubj,44,PROVISIONAL
grc,PROSE_CLASS,VERB,obl,VERB,obl,26,PROVISIONAL
grc,PROSE_CLASS,VERB,parataxis,VERB,parataxis,3,PROVISIONAL
grc,PROSE_CLASS,VERB,root,VERB,root,1481,PROVISIONAL
grc,PROSE_CLASS,VERB,vocative,VERB,vocative,1,PROVISIONAL
grc,PROSE_CLASS,VERB,xcomp,VERB,xcomp,420,PROVISIONAL
grc,PROSE_CLASS,X,nmod,X,nmod,3,PROVISIONAL
grc,PROSE_CLASS,X,root,X,root,1,PROVISIONAL
grc,PROSE_CLASS,X,xcomp,X,xcomp,1,PROVISIONAL
grc,PROSE_POST,ADJ,advcl,ADJ,advcl,61,PROVISIONAL
grc,PROSE_POST,ADJ,advmod,ADJ,advmod,330,PROVISIONAL
grc,PROSE_POST,ADJ,amod,ADJ,amod,339,PROVISIONAL
grc,PROSE_POST,ADJ,appos,ADJ,appos,1,PROVISIONAL
grc,PROSE_POST,ADJ,conj,ADJ,conj,248,PROVISIONAL
grc,PROSE_POST,ADJ,iobj,ADJ,iobj,26,PROVISIONAL
grc,PROSE_POST,ADJ,nmod,ADJ,nmod,2155,PROVISIONAL
grc,PROSE_POST,ADJ,nsubj,ADJ,nsubj,229,PROVISIONAL
grc,PROSE_POST,ADJ,obj,ADJ,obj,394,PROVISIONAL
grc,PROSE_POST,ADJ,obl,ADJ,obl,210,PROVISIONAL
grc,PROSE_POST,ADJ,parataxis,ADJ,parataxis,2,PROVISIONAL
grc,PROSE_POST,ADJ,root,ADJ,root,116,PROVISIONAL
grc,PROSE_POST,ADJ,vocative,ADJ,vocative,12,PROVISIONAL
grc,PROSE_POST,ADJ,xcomp,ADJ,xcomp,375,PROVISIONAL
grc,PROSE_POST,ADP,case,ADP,case,3643,PROVISIONAL
grc,PROSE_POST,ADP,mark,ADP,mark,12,PROVISIONAL
grc,PROSE_POST,ADP,nmod,ADP,nmod,1,PROVISIONAL
grc,PROSE_POST,ADP,obj,ADP,obj,1,PROVISIONAL
grc,PROSE_POST,ADV,advcl,ADV,advcl,4,PROVISIONAL
grc,PROSE_POST,ADV,advmod,ADV,advmod,5933,PROVISIONAL
grc,PROSE_POST,ADV,case,ADV,case,2,PROVISIONAL
grc,PROSE_POST,ADV,cc,ADV,cc,7,PROVISIONAL
grc,PROSE_POST,ADV,conj,ADV,conj,25,PROVISIONAL
grc,PROSE_POST,ADV,nmod,ADV,nmod,53,PROVISIONAL
grc,PROSE_POST,ADV,nsubj,ADV,nsubj,1,PROVISIONAL
grc,PROSE_POST,ADV,obj,ADV,obj,8,PROVISIONAL
grc,PROSE_POST,ADV,obl,ADV,obl,2,PROVISIONAL
grc,PROSE_POST,ADV,root,ADV,root,3,PROVISIONAL
grc,PROSE_POST,ADV,xcomp,ADV,xcomp,4,PROVISIONAL
grc,PROSE_POST,AUX,conj,AUX,conj,1,PROVISIONAL
grc,PROSE_POST,AUX,cop,AUX,cop,562,PROVISIONAL
grc,PROSE_POST,CCONJ,advmod,CCONJ,advmod,7,PROVISIONAL
grc,PROSE_POST,CCONJ,case,CCONJ,case,3,PROVISIONAL
grc,PROSE_POST,CCONJ,cc,CCONJ,cc,1981,PROVISIONAL
grc,PROSE_POST,CCONJ,conj,CCONJ,conj,1,PROVISIONAL
grc,PROSE_POST,CCONJ,mark,CCONJ,mark,55,PROVISIONAL
grc,PROSE_POST,CCONJ,nmod,CCONJ,nmod,1,PROVISIONAL
grc,PROSE_POST,CCONJ,obj,CCONJ,obj,1,PROVISIONAL
grc,PROSE_POST,CCONJ,obl,CCONJ,obl,1,PROVISIONAL
grc,PROSE_POST,DET,advmod,DET,advmod,3,PROVISIONAL
grc,PROSE_POST,DET,det,DET,det,7188,PROVISIONAL
grc,PROSE_POST,DET,root,DET,root,1,PROVISIONAL
grc,PROSE_POST,DET,xcomp,DET,xcomp,3,PROVISIONAL
grc,PROSE_POST,INTJ,discourse,INTJ,discourse,51,PROVISIONAL
grc,PROSE_POST,INTJ,vocative,INTJ,vocative,2,PROVISIONAL
grc,PROSE_POST,NOUN,acl,NOUN,acl,22,PROVISIONAL
grc,PROSE_POST,NOUN,advcl,NOUN,advcl,30,PROVISIONAL
grc,PROSE_POST,NOUN,appos,NOUN,appos,48,PROVISIONAL
grc,PROSE_POST,NOUN,case,NOUN,case,2,PROVISIONAL
grc,PROSE_POST,NOUN,conj,NOUN,conj,721,PROVISIONAL
grc,PROSE_POST,NOUN,iobj,NOUN,iobj,141,PROVISIONAL
grc,PROSE_POST,NOUN,nmod,NOUN,nmod,2211,PROVISIONAL
grc,PROSE_POST,NOUN,nsubj,NOUN,nsubj,2354,PROVISIONAL
grc,PROSE_POST,NOUN,nsubj:outer,NOUN,nsubj,1,PROVISIONAL
grc,PROSE_POST,NOUN,obj,NOUN,obj,2661,PROVISIONAL
grc,PROSE_POST,NOUN,obl,NOUN,obl,2773,PROVISIONAL
grc,PROSE_POST,NOUN,orphan,NOUN,orphan,2,PROVISIONAL
grc,PROSE_POST,NOUN,root,NOUN,root,74,PROVISIONAL
grc,PROSE_POST,NOUN,vocative,NOUN,vocative,84,PROVISIONAL
grc,PROSE_POST,NOUN,xcomp,NOUN,xcomp,272,PROVISIONAL
grc,PROSE_POST,NUM,advcl,NUM,advcl,1,PROVISIONAL
grc,PROSE_POST,NUM,conj,NUM,conj,4,PROVISIONAL
grc,PROSE_POST,NUM,nsubj,NUM,nsubj,1,PROVISIONAL
grc,PROSE_POST,NUM,nummod,NUM,nummod,30,PROVISIONAL
grc,PROSE_POST,NUM,obl,NUM,obl,1,PROVISIONAL
grc,PROSE_POST,PRON,acl,PRON,acl,7,PROVISIONAL
grc,PROSE_POST,PRON,advcl,PRON,advcl,4,PROVISIONAL
grc,PROSE_POST,PRON,conj,PRON,conj,26,PROVISIONAL
grc,PROSE_POST,PRON,iobj,PRON,iobj,127,PROVISIONAL
grc,PROSE_POST,PRON,nmod,PRON,nmod,361,PROVISIONAL
grc,PROSE_POST,PRON,nsubj,PRON,nsubj,553,PROVISIONAL
grc,PROSE_POST,PRON,obj,PRON,obj,697,PROVISIONAL
grc,PROSE_POST,PRON,obl,PRON,obl,578,PROVISIONAL
grc,PROSE_POST,PRON,root,PRON,root,17,PROVISIONAL
grc,PROSE_POST,PRON,vocative,PRON,vocative,5,PROVISIONAL
grc,PROSE_POST,PRON,xcomp,PRON,xcomp,45,PROVISIONAL
grc,PROSE_POST,PUNCT,punct,PUNCT,punct,5666,PROVISIONAL
grc,PROSE_POST,SCONJ,case,SCONJ,case,7,PROVISIONAL
grc,PROSE_POST,SCONJ,mark,SCONJ,mark,632,PROVISIONAL
grc,PROSE_POST,SCONJ,xcomp,SCONJ,xcomp,1,PROVISIONAL
grc,PROSE_POST,VERB,acl,VERB,acl,245,PROVISIONAL
grc,PROSE_POST,VERB,advcl,VERB,advcl,2521,PROVISIONAL
grc,PROSE_POST,VERB,appos,VERB,appos,15,PROVISIONAL
grc,PROSE_POST,VERB,ccomp,VERB,ccomp,539,PROVISIONAL
grc,PROSE_POST,VERB,conj,VERB,conj,1167,PROVISIONAL
grc,PROSE_POST,VERB,csubj,VERB,csubj,145,PROVISIONAL
grc,PROSE_POST,VERB,nmod,VERB,nmod,601,PROVISIONAL
grc,PROSE_POST,VERB,nsubj,VERB,nsubj,97,PROVISIONAL
grc,PROSE_POST,VERB,obl,VERB,obl,79,PROVISIONAL
grc,PROSE_POST,VERB,parataxis,VERB,parataxis,10,PROVISIONAL
grc,PROSE_POST,VERB,root,VERB,root,2651,PROVISIONAL
grc,PROSE_POST,VERB,vocative,VERB,vocative,4,PROVISIONAL
