language,variant,excluded_deprel_policy,symbol_id,symbol,n,frozen,status
grc,ud23,drop,32,ADJ:conj,738,False,PROVISIONAL
grc,ud23,drop,33,PRON:iobj,692,False,PROVISIONAL
grc,ud23,drop,34,NOUN:xcomp,664,False,PROVISIONAL
grc,ud23,drop,35,NOUN:iobj,648,False,PROVISIONAL
grc,ud23,drop,36,CCONJ:mark,453,False,PROVISIONAL
grc,ud23,drop,37,VERB:csubj,453,False,PROVISIONAL
grc,ud23,drop,38,ADV:obj,406,False,PROVISIONAL
grc,ud23,drop,39,ADJ:root,387,False,PROVISIONAL
grc,ud23,drop,40,NOUN:appos,237,False,PROVISIONAL
grc,ud23,drop,41,NOUN:root,215,False,PROVISIONAL
grc,ud23,drop,42,NUM:nummod,201,False,PROVISIONAL
grc,ud23,drop,43,ADJ:advcl,199,False,PROVISIONAL
grc,ud23,drop,44,VERB:nsubj,172,False,PROVISIONAL
grc,ud23,drop,45,ADV:nmod,162,False,PROVISIONAL
grc,ud23,drop,46,VERB:obl,114,False,PROVISIONAL
grc,ud23,drop,47,ADJ:iobj,110,False,PROVISIONAL
grc,ud23,drop,48,PRON:conj,108,False,PROVISIONAL
grc,ud23,drop,49,VERB:appos,98,False,PROVISIONAL
grc,ud23,drop,50,VERB:parataxis,97,False,PROVISIONAL
grc,ud23,drop,51,PRON:xcomp,91,False,PROVISIONAL
grc,ud23,drop,52,NOUN:advcl,86,False,PROVISIONAL
grc,ud23,drop,53,NOUN:acl,82,False,PROVISIONAL
grc,ud23,drop,54,ADV:conj,70,False,PROVISIONAL
grc,ud23,drop,55,ADV:mark,64,False,PROVISIONAL
grc,ud23,drop,56,ADV:cc,55,False,PROVISIONAL
grc,ud23,drop,57,PRON:root,54,False,PROVISIONAL
grc,ud23,drop,58,ADV:case,52,False,PROVISIONAL
grc,ud23,drop,59,ADJ:appos,27,False,PROVISIONAL
grc,ud23,drop,60,ADP:mark,19,False,PROVISIONAL
grc,ud23,drop,61,ADV:root,19,False,PROVISIONAL
grc,ud23,drop,62,ADV:xcomp,19,False,PROVISIONAL
grc,ud23,drop,63,PRON:acl,19,False,PROVISIONAL
grc,ud23,drop,64,SCONJ:case,17,False,PROVISIONAL
grc,ud23,drop,65,SCONJ:cc,16,False,PROVISIONAL
grc,ud23,drop,66,DET:advmod,15,False,PROVISIONAL
grc,ud23,drop,67,ADV:obl,12,False,PROVISIONAL
grc,ud23,drop,68,NUM:conj,12,False,PROVISIONAL
grc,ud23,drop,69,AUX:aux,11,False,PROVISIONAL
grc,ud23,drop,70,PRON:appos,11,False,PROVISIONAL
grc,ud23,drop,71,ADP:root,10,False,PROVISIONAL
grc,ud23,drop,72,NOUN:case,10,False,PROVISIONAL
grc,ud23,drop,73,PART:mark,10,False,PROVISIONAL
grc,ud23,drop,74,PRON:advcl,10,False,PROVISIONAL
grc,ud23,drop,75,ADP:nmod,7,False,PROVISIONAL
grc,ud23,drop,76,ADP:obj,7,False,PROVISIONAL
grc,ud23,drop,77,ADV:advcl,7,False,PROVISIONAL
grc,ud23,drop,78,ADV:nsubj,7,False,PROVISIONAL
grc,ud23,drop,79,ADP:cc,4,False,PROVISIONAL
grc,ud23,drop,80,NUM:nsubj,4,False,PROVISIONAL
grc,ud23,drop,81,ADJ:parataxis,3,False,PROVISIONAL
grc,ud23,drop,82,CCONJ:case,3,False,PROVISIONAL
grc,ud23,drop,83,DET:xcomp,3,False,PROVISIONAL
grc,ud23,drop,84,NUM:advcl,3,False,PROVISIONAL
grc,ud23,drop,85,NUM:obj,3,False,PROVISIONAL
grc,ud23,drop,86,NUM:obl,3,False,PROVISIONAL
grc,ud23,drop,87,ADV:acl,2,False,PROVISIONAL
grc,ud23,drop,88,NUM:root,2,False,PROVISIONAL
grc,ud23,drop,89,NUM:xcomp,2,False,PROVISIONAL
grc,ud23,drop,90,PART:obj,2,False,PROVISIONAL
grc,ud23,drop,91,PRON:parataxis,2,False,PROVISIONAL
grc,ud23,drop,92,ADP:advcl,1,False,PROVISIONAL
grc,ud23,drop,93,ADP:conj,1,False,PROVISIONAL
grc,ud23,drop,94,ADP:nsubj,1,False,PROVISIONAL
grc,ud23,drop,95,AUX:conj,1,False,PROVISIONAL
grc,ud23,drop,96,CCONJ:conj,1,False,PROVISIONAL
grc,ud23,drop,97,CCONJ:nmod,1,False,PROVISIONAL
grc,ud23,drop,98,CCONJ:obj,1,False,PROVISIONAL
grc,ud23,drop,99,CCONJ:obl,1,False,PROVISIONAL
grc,ud23,drop,100,DET:root,1,False,PROVISIONAL
grc,ud23,drop,101,PART:case,1,False,PROVISIONAL
grc,ud23,drop,102,PART:nmod,1,False,PROVISIONAL
grc,ud23,drop,103,SCONJ:nmod,1,False,PROVISIONAL
grc,ud23,drop,104,SCONJ:xcomp,1,False,PROVISIONAL
grc,ud23,drop,105,VERB:case,1,False,PROVISIONAL
la,ud23,drop,0,VERB:root,2082,False,PROVISIONAL
la,ud23,drop,1,NOUN:obl,1967,False,PROVISIONAL
la,ud23,drop,2,NOUN:obj,1741,False,PROVISIONAL
la,ud23,drop,3,ADV:advmod,1690,False,PROVISIONAL
la,ud23,drop,4,CCONJ:cc,1505,False,PROVISIONAL
la,ud23,drop,5,NOUN:nsubj,1456,False,PROVISIONAL
la,ud23,drop,6,ADJ:amod,1398,False,PROVISIONAL
la,ud23,drop,7,ADP:case,1335,False,PROVISIONAL
la,ud23,drop,8,VERB:advcl,1062,False,PROVISIONAL
la,ud23,drop,9,DET:det,975,False,PROVISIONAL
la,ud23,drop,10,VERB:conj,843,False,PROVISIONAL
la,ud23,drop,11,NOUN:nmod,840,False,PROVISIONAL
la,ud23,drop,12,SCONJ:mark,752,False,PROVISIONAL
la,ud23,drop,13,NOUN:conj,562,False,PROVISIONAL
la,ud23,drop,14,PRON:nsubj,539,False,PROVISIONAL
la,ud23,drop,15,VERB:xcomp,418,False,PROVISIONAL
la,ud23,drop,16,PRON:obj,415,False,PROVISIONAL
la,ud23,drop,17,PRON:obl,363,False,PROVISIONAL
la,ud23,drop,18,VERB:acl,355,False,PROVISIONAL
la,ud23,drop,19,AUX:cop,350,False,PROVISIONAL
la,ud23,drop,20,VERB:ccomp,338,False,PROVISIONAL
la,ud23,drop,21,PART:advmod,306,False,PROVISIONAL
la,ud23,drop,22,DET:nsubj,286,False,PROVISIONAL
la,ud23,drop,23,VERB:nmod,238,False,PROVISIONAL
la,ud23,drop,24,VERB:amod,215,False,PROVISIONAL
la,ud23,drop,25,DET:obj,197,False,PROVISIONAL
la,ud23,drop,26,VERB:csubj,136,False,PROVISIONAL
la,ud23,drop,27,NUM:nummod,133,False,PROVISIONAL
la,ud23,drop,28,DET:obl,132,False,PROVISIONAL
la,ud23,drop,29,ADJ:xcomp,128,False,PROVISIONAL
la,ud23,drop,30,ADJ:conj,120,False,PROVISIONAL
la,ud23,drop,31,PRON:nmod,120,False,PROVISIONAL
la,ud23,drop,32,ADJ:obj,117,False,PROVISIONAL
la,ud23,drop,33,ADJ:root,91,False,PROVISIONAL
la,ud23,drop,34,ADJ:nsubj,81,False,PROVISIONAL
la,ud23,drop,35,ADJ:obl,81,False,PROVISIONAL
la,ud23,drop,36,NOUN:root,72,False,PROVISIONAL
la,ud23,drop,37,NOUN:xcomp,72,False,PROVISIONAL
la,ud23,drop,38,CCONJ:advmod,67,False,PROVISIONAL
la,ud23,drop,39,DET:nmod,67,False,PROVISIONAL
la,ud23,drop,40,NOUN:advcl,46,False,PROVISIONAL
la,ud23,drop,41,VERB:parataxis,45,False,PROVISIONAL
la,ud23,drop,42,NOUN:appos,44,False,PROVISIONAL
la,ud23,drop,43,ADV:mark,39,False,PROVISIONAL
la,ud23,drop,44,ADJ:advcl,35,False,PROVISIONAL
la,ud23,drop,45,VERB:obl,33,False,PROVISIONAL
la,ud23,drop,46,ADJ:nmod,32,False,PROVISIONAL
la,ud23,drop,47,ADV:conj,22,False,PROVISIONAL
la,ud23,drop,48,DET:conj,22,False,PROVISIONAL
la,ud23,drop,49,VERB:nsubj,20,False,PROVISIONAL
la,ud23,drop,50,AUX:aux,19,False,PROVISIONAL
la,ud23,drop,51,ADJ:advmod,18,False,PROVISIONAL
la,ud23,drop,52,ADV:obj,18,False,PROVISIONAL
la,ud23,drop,53,DET:root,16,False,PROVISIONAL
la,ud23,drop,54,SCONJ:cc,16,False,PROVISIONAL
la,ud23,drop,55,PRON:conj,14,False,PROVISIONAL
la,ud23,drop,56,ADP:mark,13,False,PROVISIONAL
la,ud23,drop,57,NOUN:acl,13,False,PROVISIONAL
la,ud23,drop,58,ADV:nmod,12,False,PROVISIONAL
la,ud23,drop,59,DET:amod,12,False,PROVISIONAL
la,ud23,drop,60,NUM:nsubj,11,False,PROVISIONAL
la,ud23,drop,61,ADJ:ccomp,10,False,PROVISIONAL
la,ud23,drop,62,DET:xcomp,8,False,PROVISIONAL
la,ud23,drop,63,PRON:root,8,False,PROVISIONAL
la,ud23,drop,64,ADV:advcl,7,False,PROVISIONAL
la,ud23,drop,65,ADV:cc,7,False,PROVISIONAL
la,ud23,drop,66,NOUN:ccomp,7,False,PROVISIONAL
la,ud23,drop,67,NUM:obj,7,False,PROVISIONAL
la,ud23,drop,68,PRON:advcl,7,False,PROVISIONAL
la,ud23,drop,69,PRON:det,7,False,PROVISIONAL
la,ud23,drop,70,SCONJ:case,7,False,PROVISIONAL
la,ud23,drop,71,ADV:case,6,False,PROVISIONAL
la,ud23,drop,72,ADV:obl,6,False,PROVISIONAL
la,ud23,drop,73,NUM:conj,6,False,PROVISIONAL
la,ud23,drop,74,NUM:obl,5,False,PROVISIONAL
la,ud23,drop,75,VERB:obj,4,False,PROVISIONAL
la,ud23,drop,76,ADJ:acl,3,False,PROVISIONAL
la,ud23,drop,77,ADV:root,3,False,PROVISIONAL
la,ud23,drop,78,CCONJ:conj,3,False,PROVISIONAL
la,ud23,drop,79,DET:advcl,3,False,PROVISIONAL
la,ud23,drop,80,CCONJ:nmod,2,False,PROVISIONAL
la,ud23,drop,81,DET:ccomp,2,False,PROVISIONAL
la,ud23,drop,82,NOUN:amod,2,False,PROVISIONAL
la,ud23,drop,83,NOUN:iobj,2,False,PROVISIONAL
la,ud23,drop,84,PRON:appos,2,False,PROVISIONAL
la,ud23,drop,85,ADJ:appos,1,False,PROVISIONAL
la,ud23,drop,86,ADP:cc,1,False,PROVISIONAL
la,ud23,drop,87,ADV:acl,1,False,PROVISIONAL
la,ud23,drop,88,ADV:appos,1,False,PROVISIONAL
la,ud23,drop,89,ADV:xcomp,1,False,PROVISIONAL
la,ud23,drop,90,CCONJ:root,1,False,PROVISIONAL
la,ud23,drop,91,DET:acl,1,False,PROVISIONAL
la,ud23,drop,92,DET:advmod,1,False,PROVISIONAL
la,ud23,drop,93,DET:iobj,1,False,PROVISIONAL
la,ud23,drop,94,NOUN:parataxis,1,False,PROVISIONAL
la,ud23,drop,95,NUM:xcomp,1,False,PROVISIONAL
la,ud23,drop,96,PRON:acl,1,False,PROVISIONAL
la,ud23,drop,97,PRON:amod,1,False,PROVISIONAL
la,ud23,drop,98,PRON:ccomp,1,False,PROVISIONAL
la,ud23,drop,99,PRON:iobj,1,False,PROVISIONAL
la,ud23,drop,100,SCONJ:obj,1,False,PROVISIONAL
la,ud23,drop,101,VERB:appos,1,False,PROVISIONAL
