source_urn,author_label,work,regime,period_label,meter_label,role,dependence_block,flags,variant,doc_id,source_prefixes,parts,group,raw,sentences,kept,eligible,eligibility_scope,retention,eligible_fraction,empty,without_target,max_sentence,length_counts,gate_B_flagged
urn:cts:greekLit:tlg0013.tlg002.perseus-grc1,Anonymous,Homeric Hymn to Demeter,HEX,archaic,hexameter,primary,HOMERIC_TRADITION,"[""traditional_grouping_not_same_author""]",ud23,tlg0013.tlg002.perseus-grc1.tb.xml,"[""tlg0013.tlg002.perseus-grc1.tb.xml""]",[0],HEX,2061,166,1761,1119,primary_targets,0.8544395924308588,0.6354344122657581,0,27,57,"{""10"": 17, ""11"": 12, ""12"": 2, ""13"": 3, ""14"": 3, ""15"": 4, ""16"": 4, ""17"": 4, ""18"": 1, ""19"": 3, ""2"": 9, ""20"": 2, ""21"": 6, ""22"": 3, ""23"": 1, ""24"": 1, ""25"": 3, ""3"": 4, ""30"": 1, ""34"": 1, ""35"": 2, ""37"": 1, ""4"": 14, ""5"": 20, ""57"": 1, ""6"": 14, ""7"": 10, ""8"": 15, ""9"": 5}",False
urn:cts:greekLit:tlg0016.tlg001.perseus-grc1,Herodotus,"Histories, book 1",PROSE_CLASS,classical,prose,primary,HERODOTUS,"[""partial_work_single_book""]",ud23,tlg0016.tlg001.perseus-grc1.1.tb.xml,"[""tlg0016.tlg001.perseus-grc1.1.tb.xml""]",[0],PROSE_ALL,19575,1092,17301,12946,primary_targets,0.8838314176245211,0.7482804462169816,0,32,53,"{""10"": 54, ""11"": 52, ""12"": 57, ""13"": 50, ""14"": 59, ""15"": 52, ""16"": 50, ""17"": 39, ""18"": 38, ""19"": 31, ""2"": 1, ""20"": 38, ""21"": 36, ""22"": 30, ""23"": 32, ""24"": 25, ""25"": 25, ""26"": 21, ""27"": 17, ""28"": 13, ""29"": 18, ""3"": 11, ""30"": 7, ""31"": 8, ""32"": 4, ""33"": 8, ""34"": 6, ""35"": 7, ""36"": 5, ""37"": 4, ""38"": 4, ""39"": 4, ""4"": 20, ""40"": 3, ""41"": 2, ""42"": 3, ""43"": 1, ""46"": 1, ""48"": 1, ""49"": 1, ""5"": 37, ""53"": 2, ""6"": 51, ""7"": 50, ""8"": 52, ""9"": 62}",False
urn:cts:greekLit:tlg0020.tlg001.perseus-grc1,Hesiod,Theogony,HEX,archaic,hexameter,primary,HESIODIC_TRADITION,[],ud23,tlg0020.tlg001.perseus-grc1.tb.xml,"[""tlg0020.tlg001.perseus-grc1.tb.xml""]",[0],HEX,4610,273,4023,2945,primary_targets,0.8726681127982646,0.7320407655978126,0,13,152,"{""10"": 11, ""11"": 17, ""118"": 1, ""12"": 16, ""13"": 16, ""14"": 16, ""15"": 10, ""152"": 1, ""16"": 9, ""17"": 11, ""18"": 10, ""19"": 8, ""2"": 4, ""20"": 4, ""21"": 4, ""22"": 9, ""23"": 2, ""24"": 3, ""25"": 4, ""26"": 3, ""27"": 7, ""28"": 2, ""29"": 4, ""3"": 6, ""30"": 1, ""32"": 1, ""33"": 1, ""36"": 1, ""37"": 2, ""4"": 3, ""40"": 1, ""41"": 1, ""42"": 1, ""5"": 15, ""6"": 20, ""62"": 1, ""7"": 13, ""8"": 20, ""9"": 14}",False
urn:cts:greekLit:tlg0020.tlg002.perseus-grc1,Hesiod,Works and Days,HEX,archaic,hexameter,primary,HESIODIC_TRADITION,[],ud23,tlg0020.tlg002.perseus-grc1.tb.xml,"[""tlg0020.tlg002.perseus-grc1.tb.xml""]",[0],HEX,3725,283,3189,2077,primary_targets,0.8561073825503356,0.6513013483850737,0,23,33,"{""10"": 14, ""11"": 6, ""12"": 16, ""13"": 18, ""14"": 12, ""15"": 11, ""16"": 13, ""17"": 6, ""18"": 7, ""19"": 2, ""2"": 7, ""20"": 4, ""21"": 8, ""22"": 4, ""23"": 2, ""24"": 7, ""26"": 3, ""27"": 2, ""29"": 3, ""3"": 6, ""30"": 1, ""31"": 1, ""33"": 1, ""4"": 10, ""5"": 21, ""6"": 35, ""7"": 20, ""8"": 27, ""9"": 16}",False
urn:cts:greekLit:tlg0020.tlg003.perseus-grc1,Hesiod,Shield of Heracles,HEX,archaic,hexameter,primary,HESIODIC_TRADITION,"[""traditional_hesiodic_attribution_not_authorship_claim""]",ud23,tlg0020.tlg003.perseus-grc1.tb.xml,"[""tlg0020.tlg003.perseus-grc1.tb.xml""]",[0],HEX,2403,182,2070,1353,primary_targets,0.8614232209737828,0.6536231884057971,0,14,37,"{""10"": 10, ""11"": 8, ""12"": 11, ""13"": 9, ""14"": 11, ""15"": 4, ""16"": 4, ""17"": 5, ""18"": 7, ""19"": 1, ""2"": 4, ""20"": 6, ""21"": 1, ""22"": 4, ""23"": 2, ""24"": 1, ""25"": 1, ""28"": 2, ""29"": 2, ""3"": 3, ""30"": 1, ""31"": 1, ""33"": 1, ""37"": 1, ""4"": 7, ""5"": 16, ""6"": 15, ""7"": 18, ""8"": 19, ""9"": 7}",False
urn:cts:greekLit:tlg0060.tlg001.perseus-grc3,Diodorus Siculus,"Bibliotheca historica, book 11",PROSE_POST,hellenistic,prose,primary,DIODORUS,"[""partial_work_single_book""]",ud23,tlg0060.tlg001.perseus-grc3.11.tb.xml,"[""tlg0060.tlg001.perseus-grc3.11.tb.xml""]",[0],PROSE_ALL,16882,733,15266,12334,primary_targets,0.9042767444615567,0.8079392113192716,0,4,61,"{""10"": 15, ""11"": 17, ""12"": 24, ""13"": 42, ""14"": 43, ""15"": 38, ""16"": 48, ""17"": 41, ""18"": 28, ""19"": 33, ""20"": 37, ""21"": 37, ""22"": 39, ""23"": 20, ""24"": 27, ""25"": 23, ""26"": 25, ""27"": 20, ""28"": 11, ""29"": 15, ""30"": 14, ""31"": 15, ""32"": 9, ""33"": 7, ""34"": 6, ""35"": 6, ""36"": 8, ""37"": 9, ""38"": 4, ""39"": 6, ""4"": 4, ""40"": 2, ""41"": 1, ""42"": 3, ""43"": 3, ""44"": 2, ""45"": 2, ""46"": 2, ""47"": 3, ""49"": 2, ""5"": 2, ""50"": 1, ""53"": 1, ""54"": 1, ""56"": 1, ""57"": 1, ""6"": 4, ""61"": 1, ""7"": 4, ""8"": 17, ""9"": 9}",False
urn:cts:greekLit:tlg0085.tlg001.perseus-grc2,Aeschylus,Suppliant Women,OTHER_VERSE,classical,iambic trimeter + lyric (mixed),inventory_only,,"[""e1_only_one_aeschylus_play_present""]",ud23,tlg0085.tlg001.perseus-grc2.tb.xml,"[""tlg0085.tlg001.perseus-grc2.tb.xml""]",[0],OTHER_VERSE,1529,166,1284,639,potential_census_only,0.8397645519947678,0.4976635514018692,0,28,25,"{""1"": 1, ""10"": 5, ""11"": 8, ""12"": 5, ""13"": 5, ""14"": 2, ""15"": 2, ""16"": 1, ""17"": 6, ""18"": 1, ""19"": 2, ""2"": 4, ""24"": 1, ""25"": 1, ""3"": 8, ""4"": 15, ""5"": 22, ""6"": 36, ""7"": 19, ""8"": 10, ""9"": 12}",False
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1,Thucydides,"Histories, book 1",PROSE_CLASS,classical,prose,primary,THUCYDIDES,"[""partial_work_single_book""]",ud23_oth,tlg0003.tlg001.perseus-grc1.1.tb.xml,"[""tlg0003.tlg001.perseus-grc1.1.tb.xml""]",[0],PROSE_ALL,10396,532,9353,7234,primary_targets,0.899672951135052,0.7734416764674436,0,9,104,"{""10"": 24, ""104"": 1, ""11"": 30, ""12"": 35, ""13"": 16, ""14"": 28, ""15"": 33, ""16"": 26, ""17"": 28, ""18"": 21, ""19"": 20, ""2"": 3, ""20"": 13, ""21"": 16, ""22"": 21, ""23"": 14, ""24"": 10, ""25"": 8, ""26"": 6, ""27"": 12, ""28"": 7, ""29"": 7, ""3"": 3, ""30"": 8, ""31"": 5, ""32"": 2, ""33"": 6, ""34"": 4, ""35"": 3, ""36"": 4, ""37"": 4, ""38"": 3, ""39"": 1, ""4"": 3, ""40"": 3, ""42"": 1, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 2, ""47"": 3, ""5"": 21, ""50"": 1, ""51"": 1, ""55"": 1, ""57"": 1, ""6"": 13, ""69"": 1, ""7"": 13, ""8"": 25, ""9"": 18}",False
urn:cts:greekLit:tlg0007.tlg004.perseus-grc1,Plutarch,Lycurgus,PROSE_POST,imperial,prose,primary,PLUTARCH,[],ud23_oth,tlg0007.tlg004.perseus-grc1.tb.xml,"[""tlg0007.tlg004.perseus-grc1.tb.xml""]",[0],PROSE_ALL,5044,248,4486,3497,primary_targets,0.8893735130848532,0.7795363352652698,0,5,50,"{""10"": 10, ""11"": 8, ""12"": 10, ""13"": 12, ""14"": 12, ""15"": 12, ""16"": 13, ""17"": 10, ""18"": 4, ""19"": 8, ""20"": 5, ""21"": 8, ""22"": 7, ""23"": 6, ""24"": 4, ""25"": 12, ""26"": 5, ""27"": 2, ""28"": 3, ""29"": 1, ""3"": 3, ""30"": 5, ""31"": 3, ""32"": 4, ""33"": 4, ""34"": 1, ""35"": 5, ""37"": 1, ""38"": 2, ""39"": 1, ""4"": 2, ""40"": 1, ""44"": 4, ""45"": 1, ""46"": 1, ""47"": 3, ""49"": 1, ""5"": 3, ""50"": 1, ""6"": 12, ""7"": 13, ""8"": 12, ""9"": 13}",False
urn:cts:greekLit:tlg0007.tlg015.perseus-grc1,Plutarch,Alcibiades,PROSE_POST,imperial,prose,primary,PLUTARCH,[],ud23_oth,tlg0007.tlg015.perseus-grc1.tb.xml,"[""tlg0007.tlg015.perseus-grc1.tb.xml""]",[0],PROSE_ALL,4943,251,4407,3411,primary_targets,0.8915638276350395,0.773995915588836,0,12,85,"{""1"": 1, ""10"": 8, ""11"": 16, ""12"": 15, ""13"": 5, ""14"": 6, ""15"": 10, ""16"": 17, ""17"": 11, ""18"": 11, ""19"": 8, ""2"": 2, ""20"": 7, ""21"": 8, ""22"": 11, ""23"": 8, ""24"": 3, ""25"": 9, ""26"": 6, ""27"": 7, ""28"": 2, ""29"": 2, ""3"": 1, ""30"": 3, ""31"": 3, ""32"": 5, ""33"": 1, ""34"": 1, ""35"": 2, ""37"": 3, ""38"": 2, ""4"": 8, ""40"": 1, ""42"": 1, ""46"": 1, ""47"": 2, ""49"": 1, ""5"": 6, ""6"": 8, ""7"": 6, ""8"": 8, ""85"": 1, ""9"": 14}",False
urn:cts:greekLit:tlg0008.tlg001.perseus-grc1,Athenaeus,"Deipnosophistae, books 12-13",PROSE_POST,imperial,prose,primary,ATHENAEUS,"[""partial_work_two_books"", ""merged_prefixes""]",ud23_oth,tlg0008.tlg001.perseus-grc1.tb.xml,"[""tlg0008.tlg001.perseus-grc1.12.tb.xml"", ""tlg0008.tlg001.perseus-grc1.13.tb.xml""]","[12, 13]",PROSE_ALL,26245,1630,23231,16786,primary_targets,0.8851590779196037,0.7225689811028367,0,92,70,"{""1"": 5, ""10"": 83, ""11"": 109, ""12"": 94, ""13"": 82, ""14"": 68, ""15"": 69, ""16"": 70, ""17"": 65, ""18"": 45, ""19"": 43, ""2"": 16, ""20"": 41, ""21"": 36, ""22"": 37, ""23"": 31, ""24"": 23, ""25"": 18, ""26"": 22, ""27"": 15, ""28"": 13, ""29"": 15, ""3"": 28, ""30"": 12, ""31"": 17, ""32"": 9, ""33"": 8, ""34"": 8, ""35"": 6, ""36"": 5, ""37"": 3, ""38"": 5, ""39"": 6, ""4"": 43, ""40"": 1, ""41"": 2, ""42"": 3, ""43"": 7, ""44"": 3, ""46"": 1, ""47"": 1, ""48"": 1, ""49"": 1, ""5"": 78, ""50"": 1, ""52"": 1, ""57"": 1, ""6"": 87, ""7"": 85, ""70"": 1, ""8"": 102, ""9"": 104}",False
urn:cts:greekLit:tlg0011.tlg001.perseus-grc2,Sophocles,Trachiniae,OTHER_VERSE,classical,iambic trimeter + lyric (mixed),inventory_only,,[],ud23_oth,tlg0011.tlg001.perseus-grc2.tb.xml,"[""tlg0011.tlg001.perseus-grc2.tb.xml""]",[0],OTHER_VERSE,5229,431,4302,2674,potential_census_only,0.8227194492254734,0.6215713621571363,0,84,46,"{""1"": 7, ""10"": 30, ""11"": 31, ""12"": 20, ""13"": 23, ""14"": 19, ""15"": 11, ""16"": 7, ""17"": 6, ""18"": 3, ""19"": 5, ""2"": 20, ""20"": 4, ""21"": 4, ""22"": 2, ""23"": 3, ""24"": 4, ""25"": 1, ""26"": 4, ""27"": 1, ""28"": 2, ""29"": 2, ""3"": 35, ""30"": 2, ""32"": 2, ""33"": 1, ""34"": 1, ""35"": 1, ""38"": 1, ""4"": 22, ""42"": 1, ""44"": 1, ""46"": 1, ""5"": 35, ""6"": 36, ""7"": 33, ""8"": 23, ""9"": 27}",False
urn:cts:greekLit:tlg0011.tlg002.perseus-grc2,Sophocles,Antigone,OTHER_VERSE,classical,iambic trimeter + lyric (mixed),inventory_only,,[],ud23_oth,tlg0011.tlg002.perseus-grc2.tb.xml,"[""tlg0011.tlg002.perseus-grc2.tb.xml""]",[0],OTHER_VERSE,4299,391,3618,2115,potential_census_only,0.8415910676901605,0.5845771144278606,0,63,35,"{""1"": 9, ""10"": 19, ""11"": 11, ""12"": 21, ""13"": 19, ""14"": 7, ""15"": 9, ""16"": 7, ""17"": 8, ""18"": 8, ""19"": 4, ""2"": 10, ""20"": 4, ""21"": 3, ""22"": 4, ""23"": 6, ""24"": 4, ""25"": 3, ""26"": 1, ""28"": 1, ""29"": 1, ""3"": 14, ""35"": 1, ""4"": 30, ""5"": 39, ""6"": 54, ""7"": 36, ""8"": 35, ""9"": 23}",False
urn:cts:greekLit:tlg0011.tlg003.perseus-grc1,Sophocles,Ajax,OTHER_VERSE,classical,iambic trimeter + lyric (mixed),inventory_only,,[],ud23_oth,tlg0011.tlg003.perseus-grc1.tb.xml,"[""tlg0011.tlg003.perseus-grc1.tb.xml""]",[0],OTHER_VERSE,5319,490,4428,2558,potential_census_only,0.8324873096446701,0.5776874435411021,0,89,34,"{""1"": 6, ""10"": 25, ""11"": 30, ""12"": 30, ""13"": 27, ""14"": 14, ""15"": 4, ""16"": 8, ""17"": 7, ""18"": 7, ""19"": 5, ""2"": 21, ""20"": 2, ""21"": 3, ""22"": 3, ""23"": 4, ""24"": 3, ""25"": 4, ""26"": 2, ""27"": 1, ""29"": 1, ""3"": 30, ""30"": 2, ""31"": 1, ""33"": 1, ""34"": 1, ""4"": 32, ""5"": 40, ""6"": 62, ""7"": 60, ""8"": 30, ""9"": 24}",False
urn:cts:greekLit:tlg0011.tlg004.perseus-grc1,Sophocles,Oedipus Tyrannus,OTHER_VERSE,classical,iambic trimeter + lyric (mixed),inventory_only,,[],ud23_oth,tlg0011.tlg004.perseus-grc1.tb.xml,"[""tlg0011.tlg004.perseus-grc1.tb.xml""]",[0],OTHER_VERSE,5600,520,4648,2680,potential_census_only,0.83,0.576592082616179,0,98,41,"{""1"": 12, ""10"": 19, ""11"": 20, ""12"": 19, ""13"": 30, ""14"": 20, ""15"": 20, ""16"": 5, ""17"": 12, ""18"": 4, ""19"": 4, ""2"": 22, ""20"": 4, ""21"": 1, ""22"": 6, ""23"": 5, ""25"": 3, ""26"": 2, ""27"": 1, ""28"": 1, ""3"": 32, ""30"": 3, ""37"": 1, ""4"": 32, ""41"": 1, ""5"": 59, ""6"": 49, ""7"": 56, ""8"": 44, ""9"": 33}",False
urn:cts:greekLit:tlg0011.tlg005.perseus-grc2,Sophocles,Electra,OTHER_VERSE,classical,iambic trimeter + lyric (mixed),inventory_only,,[],ud23_oth,tlg0011.tlg005.perseus-grc2.tb.xml,"[""tlg0011.tlg005.perseus-grc2.tb.xml""]",[0],OTHER_VERSE,5239,528,4334,2389,potential_census_only,0.8272571101355221,0.5512228887863405,0,141,42,"{""1"": 20, ""10"": 24, ""11"": 22, ""12"": 25, ""13"": 18, ""14"": 16, ""15"": 15, ""16"": 7, ""17"": 9, ""18"": 7, ""19"": 4, ""2"": 31, ""20"": 3, ""21"": 2, ""22"": 3, ""23"": 1, ""25"": 4, ""26"": 1, ""27"": 3, ""3"": 45, ""32"": 1, ""4"": 45, ""41"": 1, ""42"": 1, ""5"": 50, ""6"": 50, ""7"": 47, ""8"": 44, ""9"": 29}",False
urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,Homer,Iliad,HEX,archaic,hexameter,primary,HOMERIC_TRADITION,[],ud23_oth,tlg0012.tlg001.perseus-grc1.tb.xml,"[""tlg0012.tlg001.perseus-grc1.tb.xml""]",[0],HEX,79890,6003,69770,45927,primary_targets,0.8733258230066341,0.6582628636949979,0,307,58,"{""1"": 11, ""10"": 297, ""11"": 310, ""12"": 315, ""13"": 345, ""14"": 336, ""15"": 283, ""16"": 192, ""17"": 154, ""18"": 115, ""19"": 115, ""2"": 24, ""20"": 98, ""21"": 101, ""22"": 88, ""23"": 69, ""24"": 44, ""25"": 34, ""26"": 40, ""27"": 24, ""28"": 24, ""29"": 40, ""3"": 88, ""30"": 18, ""31"": 20, ""32"": 11, ""33"": 11, ""34"": 8, ""35"": 10, ""36"": 11, ""37"": 5, ""38"": 4, ""39"": 6, ""4"": 184, ""40"": 2, ""41"": 3, ""43"": 3, ""45"": 1, ""46"": 1, ""48"": 1, ""49"": 1, ""5"": 349, ""50"": 3, ""58"": 1, ""6"": 564, ""7"": 691, ""8"": 548, ""9"": 400}",False
