level,unit,upos_raw,deprel_raw,count
document,tlg0007.tlg004.perseus-grc1.tb.xml,CCONJ,mark,4
document,tlg0007.tlg004.perseus-grc1.tb.xml,DET,advmod,1
document,tlg0007.tlg004.perseus-grc1.tb.xml,DET,det,648
document,tlg0007.tlg004.perseus-grc1.tb.xml,INTJ,discourse,5
document,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,acl,1
document,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,advcl,2
document,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,appos,2
document,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,conj,82
document,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,iobj,13
document,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,nmod,156
document,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,nsubj,177
document,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,obj,221
document,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,obl,228
document,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,root,6
document,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,vocative,4
document,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,xcomp,34
document,tlg0007.tlg004.perseus-grc1.tb.xml,NUM,advcl,1
document,tlg0007.tlg004.perseus-grc1.tb.xml,NUM,conj,2
document,tlg0007.tlg004.perseus-grc1.tb.xml,NUM,nsubj,1
document,tlg0007.tlg004.perseus-grc1.tb.xml,NUM,nummod,16
document,tlg0007.tlg004.perseus-grc1.tb.xml,NUM,obl,1
document,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,acl,1
document,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,conj,3
document,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,iobj,16
document,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,nmod,29
document,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,nsubj,66
document,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,obj,55
document,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,obl,53
document,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,root,1
document,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,xcomp,10
document,tlg0007.tlg004.perseus-grc1.tb.xml,PUNCT,punct,553
document,tlg0007.tlg004.perseus-grc1.tb.xml,SCONJ,case,2
document,tlg0007.tlg004.perseus-grc1.tb.xml,SCONJ,mark,79
document,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,acl,26
document,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,advcl,251
document,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,appos,3
document,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,ccomp,63
document,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,conj,106
document,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,csubj,28
document,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,nmod,56
document,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,nsubj,20
document,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,obl,13
document,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,root,221
document,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,xcomp,93
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,advcl,7
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,advmod,42
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,amod,16
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,conj,20
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,iobj,4
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,nmod,140
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,nsubj,30
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,obj,46
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,obl,10
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,parataxis,1
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,root,13
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,xcomp,33
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADP,case,263
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADP,mark,2
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADV,advcl,1
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADV,advmod,617
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADV,conj,4
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADV,nmod,8
document,tlg0007.tlg015.perseus-grc1.tb.xml,ADV,nsubj,1
document,tlg0007.tlg015.perseus-grc1.tb.xml,AUX,cop,57
document,tlg0007.tlg015.perseus-grc1.tb.xml,CCONJ,advmod,1
document,tlg0007.tlg015.perseus-grc1.tb.xml,CCONJ,cc,253
document,tlg0007.tlg015.perseus-grc1.tb.xml,CCONJ,mark,7
document,tlg0007.tlg015.perseus-grc1.tb.xml,DET,det,630
document,tlg0007.tlg015.perseus-grc1.tb.xml,INTJ,discourse,2
document,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,acl,1
document,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,advcl,9
document,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,appos,3
document,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,conj,81
document,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,iobj,22
document,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,nmod,141
document,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,nsubj,216
document,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,obj,270
document,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,obl,207
document,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,root,4
document,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,vocative,3
document,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,xcomp,29
document,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,advcl,1
document,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,conj,4
document,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,iobj,14
document,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,nmod,31
document,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,nsubj,34
document,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,obj,81
document,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,obl,55
document,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,xcomp,5
document,tlg0007.tlg015.perseus-grc1.tb.xml,PUNCT,punct,534
document,tlg0007.tlg015.perseus-grc1.tb.xml,SCONJ,mark,51
document,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,acl,24
document,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,advcl,275
document,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,ccomp,52
document,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,conj,165
document,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,csubj,18
document,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,nmod,57
document,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,nsubj,8
document,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,obl,7
document,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,root,234
document,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,vocative,1
document,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,xcomp,98
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,advcl,36
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,advmod,151
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,amod,169
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,appos,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,conj,124
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,iobj,10
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,nmod,1122
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,nsubj,96
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,obj,183
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,obl,120
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,parataxis,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,root,72
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,vocative,11
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,xcomp,179
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADP,case,1770
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADP,mark,4
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADP,nmod,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADP,obj,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,advcl,3
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,advmod,3076
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,case,2
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,cc,4
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,conj,6
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,nmod,29
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,obj,8
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,obl,2
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,root,3
document,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,xcomp,3
document,tlg0008.tlg001.perseus-grc1.tb.xml,AUX,conj,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,AUX,cop,355
document,tlg0008.tlg001.perseus-grc1.tb.xml,CCONJ,advmod,4
document,tlg0008.tlg001.perseus-grc1.tb.xml,CCONJ,cc,797
document,tlg0008.tlg001.perseus-grc1.tb.xml,CCONJ,conj,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,CCONJ,mark,32
document,tlg0008.tlg001.perseus-grc1.tb.xml,CCONJ,obj,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,CCONJ,obl,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,DET,advmod,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,DET,det,3040
document,tlg0008.tlg001.perseus-grc1.tb.xml,DET,root,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,DET,xcomp,3
document,tlg0008.tlg001.perseus-grc1.tb.xml,INTJ,discourse,44
document,tlg0008.tlg001.perseus-grc1.tb.xml,INTJ,vocative,2
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,acl,11
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,advcl,14
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,appos,36
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,case,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,conj,348
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,iobj,62
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,nmod,1163
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,nsubj,1273
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,nsubj:outer,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,obj,1250
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,obl,1275
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,orphan,2
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,root,58
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,vocative,77
document,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,xcomp,149
document,tlg0008.tlg001.perseus-grc1.tb.xml,NUM,conj,2
document,tlg0008.tlg001.perseus-grc1.tb.xml,NUM,nummod,14
document,tlg0008.tlg001.perseus-grc1.tb.xml,PRON,acl,5
document,tlg0008.tlg001.perseus-grc1.tb.xml,PRON,advcl,3
document,tlg0008.tlg001.perseus-grc1.tb.xml,PRON,conj,14
document,tlg0008.tlg001.perseus-grc1.tb.xml,PRON,iobj,68
document,tlg0008.tlg001.perseus-grc1.tb.xml,PRON,nmod,228
document,tlg0008.tlg001.perseus-grc1.tb.xml,PRON,nsubj,319
document,tlg0008.tlg001.perseus-grc1.tb.xml,PRON,obj,441
document,tlg0008.tlg001.perseus-grc1.tb.xml,PRON,obl,280
document,tlg0008.tlg001.perseus-grc1.tb.xml,PRON,root,10
document,tlg0008.tlg001.perseus-grc1.tb.xml,PRON,vocative,5
document,tlg0008.tlg001.perseus-grc1.tb.xml,PRON,xcomp,24
document,tlg0008.tlg001.perseus-grc1.tb.xml,PUNCT,punct,2964
document,tlg0008.tlg001.perseus-grc1.tb.xml,SCONJ,case,3
document,tlg0008.tlg001.perseus-grc1.tb.xml,SCONJ,mark,404
document,tlg0008.tlg001.perseus-grc1.tb.xml,SCONJ,xcomp,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,acl,148
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,advcl,1168
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,appos,7
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,ccomp,321
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,conj,435
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,csubj,54
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,nmod,277
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,nsubj,33
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,obl,35
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,parataxis,9
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,root,1486
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,vocative,3
document,tlg0008.tlg001.perseus-grc1.tb.xml,VERB,xcomp,290
document,tlg0008.tlg001.perseus-grc1.tb.xml,X,obj,1
document,tlg0008.tlg001.perseus-grc1.tb.xml,X,obl,3
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,advcl,5
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,advmod,31
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,amod,34
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,appos,1
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,conj,12
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,iobj,4
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,nmod,295
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,nsubj,43
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,obj,99
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,obl,17
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,root,7
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,vocative,18
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADJ,xcomp,66
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADP,case,154
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADP,cc,3
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADP,nmod,1
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADV,advmod,257
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADV,case,5
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADV,cc,9
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADV,conj,1
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADV,mark,22
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADV,nmod,5
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADV,nsubj,1
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADV,obj,24
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADV,root,1
document,tlg0011.tlg001.perseus-grc2.tb.xml,ADV,vocative,3
document,tlg0011.tlg001.perseus-grc2.tb.xml,AUX,aux,3
document,tlg0011.tlg001.perseus-grc2.tb.xml,AUX,cop,38
document,tlg0011.tlg001.perseus-grc2.tb.xml,CCONJ,advmod,91
document,tlg0011.tlg001.perseus-grc2.tb.xml,CCONJ,cc,59
document,tlg0011.tlg001.perseus-grc2.tb.xml,CCONJ,mark,9
document,tlg0011.tlg001.perseus-grc2.tb.xml,DET,advmod,2
document,tlg0011.tlg001.perseus-grc2.tb.xml,DET,det,179
document,tlg0011.tlg001.perseus-grc2.tb.xml,INTJ,discourse,41
document,tlg0011.tlg001.perseus-grc2.tb.xml,INTJ,vocative,12
document,tlg0011.tlg001.perseus-grc2.tb.xml,NOUN,acl,1
document,tlg0011.tlg001.perseus-grc2.tb.xml,NOUN,advcl,2
document,tlg0011.tlg001.perseus-grc2.tb.xml,NOUN,appos,7
document,tlg0011.tlg001.perseus-grc2.tb.xml,NOUN,conj,40
document,tlg0011.tlg001.perseus-grc2.tb.xml,NOUN,iobj,13
document,tlg0011.tlg001.perseus-grc2.tb.xml,NOUN,nmod,150
document,tlg0011.tlg001.perseus-grc2.tb.xml,NOUN,nsubj,104
document,tlg0011.tlg001.perseus-grc2.tb.xml,NOUN,obj,257
document,tlg0011.tlg001.perseus-grc2.tb.xml,NOUN,obl,146
document,tlg0011.tlg001.perseus-grc2.tb.xml,NOUN,root,1
document,tlg0011.tlg001.perseus-grc2.tb.xml,NOUN,vocative,55
document,tlg0011.tlg001.perseus-grc2.tb.xml,NOUN,xcomp,25
document,tlg0011.tlg001.perseus-grc2.tb.xml,NUM,advcl,1
document,tlg0011.tlg001.perseus-grc2.tb.xml,NUM,nummod,5
document,tlg0011.tlg001.perseus-grc2.tb.xml,PART,advmod,336
document,tlg0011.tlg001.perseus-grc2.tb.xml,PART,cc,89
document,tlg0011.tlg001.perseus-grc2.tb.xml,PRON,conj,4
document,tlg0011.tlg001.perseus-grc2.tb.xml,PRON,iobj,21
document,tlg0011.tlg001.perseus-grc2.tb.xml,PRON,nmod,85
document,tlg0011.tlg001.perseus-grc2.tb.xml,PRON,nsubj,102
document,tlg0011.tlg001.perseus-grc2.tb.xml,PRON,obj,154
document,tlg0011.tlg001.perseus-grc2.tb.xml,PRON,obl,67
document,tlg0011.tlg001.perseus-grc2.tb.xml,PRON,parataxis,2
document,tlg0011.tlg001.perseus-grc2.tb.xml,PRON,root,7
document,tlg0011.tlg001.perseus-grc2.tb.xml,PRON,vocative,2
document,tlg0011.tlg001.perseus-grc2.tb.xml,PRON,xcomp,1
document,tlg0011.tlg001.perseus-grc2.tb.xml,PUNCT,punct,874
document,tlg0011.tlg001.perseus-grc2.tb.xml,SCONJ,mark,99
document,tlg0011.tlg001.perseus-grc2.tb.xml,VERB,acl,51
document,tlg0011.tlg001.perseus-grc2.tb.xml,VERB,advcl,243
document,tlg0011.tlg001.perseus-grc2.tb.xml,VERB,appos,9
document,tlg0011.tlg001.perseus-grc2.tb.xml,VERB,ccomp,44
document,tlg0011.tlg001.perseus-grc2.tb.xml,VERB,conj,91
document,tlg0011.tlg001.perseus-grc2.tb.xml,VERB,csubj,27
document,tlg0011.tlg001.perseus-grc2.tb.xml,VERB,nmod,25
document,tlg0011.tlg001.perseus-grc2.tb.xml,VERB,nsubj,5
document,tlg0011.tlg001.perseus-grc2.tb.xml,VERB,obl,1
document,tlg0011.tlg001.perseus-grc2.tb.xml,VERB,parataxis,24
document,tlg0011.tlg001.perseus-grc2.tb.xml,VERB,root,415
document,tlg0011.tlg001.perseus-grc2.tb.xml,VERB,xcomp,92
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,advcl,4
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,advmod,32
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,amod,20
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,appos,2
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,conj,15
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,iobj,3
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,nmod,263
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,nsubj,39
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,obj,84
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,obl,22
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,root,13
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,vocative,8
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADJ,xcomp,71
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADP,case,156
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADP,root,3
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADV,advmod,237
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADV,case,5
document,tlg0011.tlg002.perseus-grc2.tb.xml,ADV,cc,2
