language,doc_id,upos_raw,deprel_raw,upos,deprel_base,n,status
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,csubj,VERB,csubj,48,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,nmod,VERB,nmod,86,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,nsubj,VERB,nsubj,14,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,obl,VERB,obl,13,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,parataxis,VERB,parataxis,1,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,root,VERB,root,493,PROVISIONAL
grc,tlg0003.tlg001.perseus-grc1.1.tb.xml,VERB,xcomp,VERB,xcomp,158,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,advcl,ADJ,advcl,7,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,advmod,ADJ,advmod,32,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,amod,ADJ,amod,47,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,conj,ADJ,conj,55,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,iobj,ADJ,iobj,7,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,nmod,ADJ,nmod,167,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,nsubj,ADJ,nsubj,27,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,obj,ADJ,obj,44,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,obl,ADJ,obl,21,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,root,ADJ,root,20,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,vocative,ADJ,vocative,1,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADJ,xcomp,ADJ,xcomp,42,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADP,case,ADP,case,285,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADV,advmod,ADV,advmod,604,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADV,cc,ADV,cc,1,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADV,conj,ADV,conj,13,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,ADV,nmod,ADV,nmod,10,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,AUX,cop,AUX,cop,60,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,CCONJ,advmod,CCONJ,advmod,1,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,CCONJ,case,CCONJ,case,1,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,CCONJ,cc,CCONJ,cc,246,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,CCONJ,mark,CCONJ,mark,4,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,DET,advmod,DET,advmod,1,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,DET,det,DET,det,648,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,INTJ,discourse,INTJ,discourse,5,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,acl,NOUN,acl,1,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,advcl,NOUN,advcl,2,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,appos,NOUN,appos,2,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,conj,NOUN,conj,82,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,iobj,NOUN,iobj,13,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,nmod,NOUN,nmod,156,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,nsubj,NOUN,nsubj,177,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,obj,NOUN,obj,221,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,obl,NOUN,obl,228,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,root,NOUN,root,6,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,vocative,NOUN,vocative,4,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NOUN,xcomp,NOUN,xcomp,34,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NUM,advcl,NUM,advcl,1,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NUM,conj,NUM,conj,2,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NUM,nsubj,NUM,nsubj,1,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NUM,nummod,NUM,nummod,16,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,NUM,obl,NUM,obl,1,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,acl,PRON,acl,1,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,conj,PRON,conj,3,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,iobj,PRON,iobj,16,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,nmod,PRON,nmod,29,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,nsubj,PRON,nsubj,66,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,obj,PRON,obj,55,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,obl,PRON,obl,53,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,root,PRON,root,1,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,PRON,xcomp,PRON,xcomp,10,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,PUNCT,punct,PUNCT,punct,553,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,SCONJ,case,SCONJ,case,2,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,SCONJ,mark,SCONJ,mark,79,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,acl,VERB,acl,26,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,advcl,VERB,advcl,251,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,appos,VERB,appos,3,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,ccomp,VERB,ccomp,63,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,conj,VERB,conj,106,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,csubj,VERB,csubj,28,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,nmod,VERB,nmod,56,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,nsubj,VERB,nsubj,20,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,obl,VERB,obl,13,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,root,VERB,root,221,PROVISIONAL
grc,tlg0007.tlg004.perseus-grc1.tb.xml,VERB,xcomp,VERB,xcomp,93,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,advcl,ADJ,advcl,7,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,advmod,ADJ,advmod,42,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,amod,ADJ,amod,16,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,conj,ADJ,conj,20,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,iobj,ADJ,iobj,4,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,nmod,ADJ,nmod,140,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,nsubj,ADJ,nsubj,30,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,obj,ADJ,obj,46,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,obl,ADJ,obl,10,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,parataxis,ADJ,parataxis,1,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,root,ADJ,root,13,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADJ,xcomp,ADJ,xcomp,33,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADP,case,ADP,case,263,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADP,mark,ADP,mark,2,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADV,advcl,ADV,advcl,1,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADV,advmod,ADV,advmod,617,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADV,conj,ADV,conj,4,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADV,nmod,ADV,nmod,8,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,ADV,nsubj,ADV,nsubj,1,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,AUX,cop,AUX,cop,57,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,CCONJ,advmod,CCONJ,advmod,1,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,CCONJ,cc,CCONJ,cc,253,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,CCONJ,mark,CCONJ,mark,7,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,DET,det,DET,det,630,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,INTJ,discourse,INTJ,discourse,2,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,acl,NOUN,acl,1,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,advcl,NOUN,advcl,9,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,appos,NOUN,appos,3,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,conj,NOUN,conj,81,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,iobj,NOUN,iobj,22,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,nmod,NOUN,nmod,141,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,nsubj,NOUN,nsubj,216,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,obj,NOUN,obj,270,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,obl,NOUN,obl,207,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,root,NOUN,root,4,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,vocative,NOUN,vocative,3,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,NOUN,xcomp,NOUN,xcomp,29,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,advcl,PRON,advcl,1,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,conj,PRON,conj,4,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,iobj,PRON,iobj,14,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,nmod,PRON,nmod,31,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,nsubj,PRON,nsubj,34,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,obj,PRON,obj,81,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,obl,PRON,obl,55,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,PRON,xcomp,PRON,xcomp,5,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,PUNCT,punct,PUNCT,punct,534,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,SCONJ,mark,SCONJ,mark,51,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,acl,VERB,acl,24,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,advcl,VERB,advcl,275,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,ccomp,VERB,ccomp,52,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,conj,VERB,conj,165,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,csubj,VERB,csubj,18,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,nmod,VERB,nmod,57,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,nsubj,VERB,nsubj,8,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,obl,VERB,obl,7,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,root,VERB,root,234,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,vocative,VERB,vocative,1,PROVISIONAL
grc,tlg0007.tlg015.perseus-grc1.tb.xml,VERB,xcomp,VERB,xcomp,98,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,advcl,ADJ,advcl,36,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,advmod,ADJ,advmod,151,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,amod,ADJ,amod,169,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,appos,ADJ,appos,1,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,conj,ADJ,conj,124,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,iobj,ADJ,iobj,10,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,nmod,ADJ,nmod,1122,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,nsubj,ADJ,nsubj,96,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,obj,ADJ,obj,183,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,obl,ADJ,obl,120,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,parataxis,ADJ,parataxis,1,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,root,ADJ,root,72,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,vocative,ADJ,vocative,11,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADJ,xcomp,ADJ,xcomp,179,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADP,case,ADP,case,1770,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADP,mark,ADP,mark,4,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADP,nmod,ADP,nmod,1,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADP,obj,ADP,obj,1,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,advcl,ADV,advcl,3,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,advmod,ADV,advmod,3076,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,case,ADV,case,2,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,cc,ADV,cc,4,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,conj,ADV,conj,6,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,nmod,ADV,nmod,29,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,obj,ADV,obj,8,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,obl,ADV,obl,2,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,root,ADV,root,3,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,ADV,xcomp,ADV,xcomp,3,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,AUX,conj,AUX,conj,1,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,AUX,cop,AUX,cop,355,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,CCONJ,advmod,CCONJ,advmod,4,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,CCONJ,cc,CCONJ,cc,797,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,CCONJ,conj,CCONJ,conj,1,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,CCONJ,mark,CCONJ,mark,32,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,CCONJ,obj,CCONJ,obj,1,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,CCONJ,obl,CCONJ,obl,1,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,DET,advmod,DET,advmod,1,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,DET,det,DET,det,3040,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,DET,root,DET,root,1,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,DET,xcomp,DET,xcomp,3,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,INTJ,discourse,INTJ,discourse,44,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,INTJ,vocative,INTJ,vocative,2,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,acl,NOUN,acl,11,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,advcl,NOUN,advcl,14,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,appos,NOUN,appos,36,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,case,NOUN,case,1,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,conj,NOUN,conj,348,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,iobj,NOUN,iobj,62,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,nmod,NOUN,nmod,1163,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,nsubj,NOUN,nsubj,1273,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,nsubj:outer,NOUN,nsubj,1,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,obj,NOUN,obj,1250,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,obl,NOUN,obl,1275,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,orphan,NOUN,orphan,2,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,root,NOUN,root,58,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,vocative,NOUN,vocative,77,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NOUN,xcomp,NOUN,xcomp,149,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NUM,conj,NUM,conj,2,PROVISIONAL
grc,tlg0008.tlg001.perseus-grc1.tb.xml,NUM,nummod,NUM,nummod,14,PROVISIONAL
